2025-11-01 06:59:48 startup archives unpack
2025-11-01 06:59:52 upgrade libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.3 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4
2025-11-01 06:59:52 status triggers-pending libc-bin:amd64 2.41-6ubuntu1.2
2025-11-01 06:59:52 status half-configured libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.3
2025-11-01 06:59:52 status unpacked libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.3
2025-11-01 06:59:52 status half-installed libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.3
2025-11-01 06:59:52 status unpacked libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4
2025-11-01 06:59:53 startup packages configure
2025-11-01 06:59:53 configure libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4 <none>
2025-11-01 06:59:53 status unpacked libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4
2025-11-01 06:59:53 status half-configured libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4
2025-11-01 06:59:53 status installed libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4
2025-11-01 06:59:53 trigproc libc-bin:amd64 2.41-6ubuntu1.2 <none>
2025-11-01 06:59:53 status half-configured libc-bin:amd64 2.41-6ubuntu1.2
2025-11-01 06:59:54 status installed libc-bin:amd64 2.41-6ubuntu1.2
2025-11-04 06:54:29 startup archives unpack
2025-11-04 06:54:29 upgrade bpftool:amd64 7.6.0+6.14.0-34.34 7.6.0+6.14.0-35.35
2025-11-04 06:54:29 status half-configured bpftool:amd64 7.6.0+6.14.0-34.34
2025-11-04 06:54:29 status unpacked bpftool:amd64 7.6.0+6.14.0-34.34
2025-11-04 06:54:30 status half-installed bpftool:amd64 7.6.0+6.14.0-34.34
2025-11-04 06:54:30 status triggers-pending man-db:amd64 2.13.0-1
2025-11-04 06:54:30 status unpacked bpftool:amd64 7.6.0+6.14.0-35.35
2025-11-04 06:54:30 upgrade linux-libc-dev:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-04 06:54:30 status half-configured linux-libc-dev:amd64 6.14.0-34.34
2025-11-04 06:54:31 status unpacked linux-libc-dev:amd64 6.14.0-34.34
2025-11-04 06:54:31 status half-installed linux-libc-dev:amd64 6.14.0-34.34
2025-11-04 06:54:32 status unpacked linux-libc-dev:amd64 6.14.0-35.35
2025-11-04 06:54:32 upgrade linux-perf:amd64 6.14.0-34.34 6.14.0-35.35
